 ,X,Y
1,375.786,370.355
2,420.352,188.912
3,468.951,186.455
4,458.396,205.149
5,366.009,201.734
6,522.531,203.510
7,497.193,199.438
8,415.231,235.235
9,552.462,211.238
10,277.723,215.101
11,255.042,213.042
12,320.933,220.260
13,499.696,223.761
14,455.402,226.245
15,232.014,226.821
16,170.964,225.337
17,584.830,248.005
18,534.758,247.584
19,345.822,240.614
20,376.500,228.500
21,478.807,252.204
22,372.017,242.399
23,285.919,252.303
24,319.596,244.722
25,210.125,245.826
26,181.776,247.767
27,248.688,255.549
28,385.492,264.126
29,337.853,273.846
30,152.345,268.292
31,191.647,275.283
32,504.519,275.838
33,552.799,291.320
34,222.045,285.114
35,247.982,278.866
36,308.385,281.354
37,367.792,284.641
38,300.645,310.719
39,166.560,293.589
40,249.432,305.022
41,340.462,300.900
42,198.614,308.465
43,172.065,322.813
44,223.217,321.826
45,259.488,341.807
46,196.442,336.322
47,307.037,365.003
48,166.110,347.760
49,195.467,362.500
50,239.660,391.090
51,241.000,358.500
52,445.060,379.513
53,527.885,506.095
54,626.571,383.247
55,207.290,389.170
56,301.478,399.890
57,300.948,464.216
58,250.450,422.733
59,267.938,424.719
60,264.816,452.259
61,226.789,440.752
62,242.151,439.764
63,599.500,436.500
64,472.317,447.452
65,491.425,444.594
66,602.988,444.783
67,520.694,452.773
68,587.515,453.318
69,236.233,465.277
70,491.500,455.500
71,260.255,489.170
72,318.547,553.422
73,346.887,518.689
74,305.181,525.397
75,572.030,527.642
76,618.500,547.500
77,385.413,571.725
78,386.784,618.947
